weed_count,date,client,user,weed diameter,size,height,weed placement,weed type,weed name,weed applied
1,2023-01-01,pedro,mate,,25.0,,ROW,HA,Xanthium cavanillesii,0.0
2,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1.0
3,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1.0
4,2023-01-01,pedro,mate,,20.0,,FURROW,HA,Xanthium cavanillesii,1.0
5,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1.0
6,2023-01-01,pedro,mate,,20.0,,ROW,HA,Xanthium cavanillesii,1.0
7,2023-01-01,pedro,mate,,15.0,,FURROW,HA,Xanthium cavanillesii,1.0
8,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1.0
9,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1.0
10,2023-01-01,pedro,mate,,25.0,,ROW,HA,Xanthium cavanillesii,1.0
11,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,0.0
12,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1.0
13,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1.0
14,2023-01-01,pedro,mate,,20.0,,FURROW,HA,Xanthium cavanillesii,0.0
15,2023-01-01,pedro,mate,25.0,490.63,,FURROW,HA,Bassia scoparia,0.0
16,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0.0
17,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1.0
18,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0.0
19,2023-01-01,pedro,mate,30.0,706.5,,FURROW,HA,Xanthium cavanillesii,1.0
20,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1.0
21,2023-01-01,pedro,mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1.0
22,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1.0
23,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,0.0
24,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1.0
25,2023-01-01,pedro,mate,20.0,314.0,,ROW,HA,Xanthium cavanillesii,0.0
26,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0.0
27,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1.0
28,2023-01-01,pedro,mate,,25.0,,ROW,G,Maíz voluntario,1.0
