Repeticion,MALEZA,Diametro,Tamaño,Tipo,Lugar,Nombre,Aplicado,,Diámetro (CM),Tamaño (CM2),Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,,Nombre,Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,Diámetro promedio (cm),,Total aplicadas,Total No Aplicadas,n
1,1,,25.00,HA,Surco,Xanthium cavanillesii,0,,0.0,0,19,5,24,79.17%,20.83%,,Bassia scoparia,22,2,24,91.67%,8.33%,14.2,,111,36,147
1,2,,25.00,HA,Entre surco,Xanthium cavanillesii,1,,3.0,7,1,0,1,100.00%,0.00%,,Conyza sp,3,0,3,100.00%,0.00%,3.3,,,% Aplicado,0.7551020408
1,3,15,176.63,HA,Entre surco,Xanthium cavanillesii,1,,3.4,9,1,2,3,33.33%,66.67%,,Maíz voluntario,21,4,25,84.00%,16.00%,4.0,,,% No Aplicado,0.2448979592
1,4,,20.00,HA,Entre surco,Xanthium cavanillesii,1,,4.4,15.00,3,2,5,60.00%,40.00%,,Xanthium cavanillesii,64,30,94,68.09%,31.91%,7.8,,,,
1,5,,25.00,HA,Entre surco,Xanthium cavanillesii,1,,5.0,20.00,7,4,11,63.64%,36.36%,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
1,6,,20.00,HA,Surco,Xanthium cavanillesii,1,,5.6,25.00,23,6,29,79.31%,20.69%,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
1,7,,15.00,HA,Entre surco,Xanthium cavanillesii,1,,10.0,78.50,21,6,27,77.78%,22.22%,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
1,8,15.00,176.63,HA,Entre surco,Xanthium cavanillesii,1,,15.0,176.63,20,6,26,76.92%,23.08%,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
1,9,10.00,78.50,HA,Entre surco,Xanthium cavanillesii,1,,20.0,314.00,10,3,13,76.92%,23.08%,,,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
1,10,,25.00,HA,Surco,Xanthium cavanillesii,1,,25.0,490.63,1,2,3,33.33%,66.67%,,,,,,,,,,,,
1,11,15.00,176.63,HA,Surco,Xanthium cavanillesii,0,,30.0,706.50,3,0,3,100.00%,0.00%,,,,,,,,,,,,
1,12,,25.00,HA,Entre surco,Xanthium cavanillesii,1,,,1962.5,,,,,,,,,,,,,,,,,
1,13,10.00,78.50,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,14,,20.00,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,15,25.00,490.63,HA,Entre surco,Bassia scoparia,0,,,,,,,,,,,,,,,,,,,,
1,16,15.00,176.63,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,17,10.00,78.50,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,18,,25.00,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,19,30.00,706.50,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,20,15.00,176.63,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,21,20.00,314.00,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,22,,25.00,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,23,15.00,176.63,HA,Surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,24,15.00,176.63,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,25,20.00,314.00,HA,Surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,26,,25.00,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,27,10,78.5,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,28,,25,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
1,29,10,78.5,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,30,20,314,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,31,10,78.5,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,32,,25,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
1,33,15,176.63,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,34,10,78.5,HA,Surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,35,15,176.63,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
1,36,,20,HA,Surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
1,37,10,78.5,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
