Plot Trial Repetition,Weed Count,Weed Diameter,Size,Size (inch²),Weed Type,Weed Placement,Weed Name,Weed Applied,DATA Detection,Control (%) ,DATA Control
101,1,,20,,,ROW,CP,1,OK,100%,OK
101,1,,20,,,ROW,CP,1,OK,100%,OK
101,2,,9,,,FURROW,CP,1,OK,100%,OK
101,3,,25,,,ROW,CORN,1,OK,50%,OK
101,4,,20,,,FURROW,CP,1,OK,100%,OK
101,5,,20,,,FURROW,CP,1,OK,100%,OK
101,6,,15,,,FURROW,LCG,1,OK,100%,OK
101,7,,9,,,FURROW,CP,1,OK,100%,OK
101,8,,25,,,FURROW,CORN,1,OK,10%,OK
101,9,,9,,,FURROW,CP,1,OK,100%,OK
101,10,,25,,,FURROW,CORN,1,OK,100%,OK
101,11,,25,,,FURROW,LCG,1,OK,50%,OK
101,12,,15,,,ROW,CP,1,OK,100%,OK
101,13,,20,,,ROW,CP,1,OK,100%,OK
101,14,,9,,,FURROW,CP,1,OK,100%,OK
101,15,,7,,,FURROW,CP,1,OK,100%,OK
101,16,,15,,,FURROW,CP,1,OK,100%,OK
101,17,,9,,,FURROW,CP,1,OK,100%,OK
101,18,,7,,,FURROW,LCG,1,OK,100%,OK
101,19,,9,,,FURROW,CP,1,OK,100%,OK
101,20,,5,,,FURROW,CP,1,OK,100%,OK
101,21,,5,,,FURROW,CP,1,OK,100%,OK
101,22,,9,,,FURROW,LCG,1,OK,100%,OK
101,23,,15,,,FURROW,CP,1,OK,100%,OK
101,24,,7,,,FURROW,CP,1,OK,100%,OK
101,25,,25,,,FURROW,CP,1,OK,100%,OK
101,26,,25,,,FURROW,LCG,1,OK,100%,OK
101,27,,15,,,FURROW,CP,1,OK,100%,OK
101,28,,25,,,FURROW,CORN,1,OK,30%,OK
101,29,,15,,,FURROW,CP,1,OK,100%,OK
101,30,,25,,,FURROW,CP,1,OK,100%,OK
101,31,,9,,,ROW,CP,1,OK,100%,OK
101,32,,25,,,FURROW,LCG,1,OK,90%,OK
101,33,,9,,,FURROW,CP,1,OK,0%,OK
