weed_count,date,client,user,weed diameter,size,height,weed placement,weed type,weed name,weed applied
1,2021-02-03,juan,mate,,20,,ROW,,CP,1
2,2021-02-03,juan,mate,,20,,ROW,,CP,1
3,2021-02-03,juan,mate,,9,,FURROW,,CP,1
4,2021-02-03,juan,mate,,25,,ROW,,CORN,1
5,2021-02-03,juan,mate,,20,,FURROW,,CP,1
6,2021-02-03,juan,mate,,20,,FURROW,,CP,1
7,2021-02-03,juan,mate,,15,,FURROW,,LCG,1
8,2021-02-03,juan,mate,,9,,FURROW,,CP,1
9,2021-02-03,juan,mate,,25,,FURROW,,CORN,1
10,2021-02-03,juan,mate,,9,,FURROW,,CP,1
11,2021-02-03,juan,mate,,25,,FURROW,,CORN,1
12,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
13,2021-02-03,juan,mate,,15,,ROW,,CP,1
14,2021-02-03,juan,mate,,20,,ROW,,CP,1
15,2021-02-03,juan,mate,,9,,FURROW,,CP,1
16,2021-02-03,juan,mate,,7,,FURROW,,CP,1
17,2021-02-03,juan,mate,,15,,FURROW,,CP,1
18,2021-02-03,juan,mate,,9,,FURROW,,CP,1
19,2021-02-03,juan,mate,,7,,FURROW,,LCG,1
20,2021-02-03,juan,mate,,9,,FURROW,,CP,1
21,2021-02-03,juan,mate,,5,,FURROW,,CP,1
22,2021-02-03,juan,mate,,5,,FURROW,,CP,1
23,2021-02-03,juan,mate,,9,,FURROW,,LCG,1
24,2021-02-03,juan,mate,,15,,FURROW,,CP,1
25,2021-02-03,juan,mate,,7,,FURROW,,CP,1
26,2021-02-03,juan,mate,,25,,FURROW,,CP,1
27,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
28,2021-02-03,juan,mate,,15,,FURROW,,CP,1
29,2021-02-03,juan,mate,,25,,FURROW,,CORN,1
30,2021-02-03,juan,mate,,15,,FURROW,,CP,1
31,2021-02-03,juan,mate,,25,,FURROW,,CP,1
32,2021-02-03,juan,mate,,9,,ROW,,CP,1
33,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
34,2021-02-03,juan,mate,,9,,FURROW,,CP,1
35,2021-02-03,juan,mate,,15,,FURROW,,CORN,1
36,2021-02-03,juan,mate,,15,,FURROW,,CP,1
37,2021-02-03,juan,mate,,15,,ROW,,LCG,1
38,2021-02-03,juan,mate,,25,,FURROW,,CORN,1
39,2021-02-03,juan,mate,,15,,FURROW,,CP,1
40,2021-02-03,juan,mate,,25,,FURROW,,CP,1
41,2021-02-03,juan,mate,,3,,FURROW,,CP,1
42,2021-02-03,juan,mate,,25,,FURROW,,CP,1
43,2021-02-03,juan,mate,,9,,FURROW,,CP,1
44,2021-02-03,juan,mate,,15,,FURROW,,CP,1
45,2021-02-03,juan,mate,,15,,FURROW,,CP,1
46,2021-02-03,juan,mate,,9,,FURROW,,CP,1
47,2021-02-03,juan,mate,,15,,FURROW,,CP,1
48,2021-02-03,juan,mate,,25,,FURROW,,CP,1
49,2021-02-03,juan,mate,,9,,FURROW,,CP,1
50,2021-02-03,juan,mate,,9,,FURROW,,CP,1
51,2021-02-03,juan,mate,,20,,FURROW,,CP,1
52,2021-02-03,juan,mate,,15,,FURROW,,LCG,1
53,2021-02-03,juan,mate,,9,,FURROW,,CP,1
54,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
55,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
56,2021-02-03,juan,mate,,25,,ROW,,COMMON (*),1
57,2021-02-03,juan,mate,,25,,FURROW,,CP,1
58,2021-02-03,juan,mate,,25,,FURROW,,CP,1
59,2021-02-03,juan,mate,,20,,FURROW,,CP,1
60,2021-02-03,juan,mate,,5,,ROW,,CP,1
61,2021-02-03,juan,mate,,20,,FURROW,,LCG,1
62,2021-02-03,juan,mate,,15,,ROW,,LCG,1
63,2021-02-03,juan,mate,,25,,FURROW,,CP,1
64,2021-02-03,juan,mate,,25,,ROW,,CP,1
65,2021-02-03,juan,mate,,7,,ROW,,CP,1
66,2021-02-03,juan,mate,,20,,ROW,,CP,1
67,2021-02-03,juan,mate,,15,,FURROW,,LCG,1
68,2021-02-03,juan,mate,,9,,FURROW,,CP,1
69,2021-02-03,juan,mate,,5,,FURROW,,CP,1
70,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
71,2021-02-03,juan,mate,,25,,FURROW,,CP,1
72,2021-02-03,juan,mate,,15,,ROW,,CP,1
73,2021-02-03,juan,mate,,25,,ROW,,LCG,1
74,2021-02-03,juan,mate,,20,,FURROW,,LCG,1
75,2021-02-03,juan,mate,,25,,FURROW,,CP,1
76,2021-02-03,juan,mate,,25,,ROW,,CORN,1
77,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
78,2021-02-03,juan,mate,,25,,FURROW,,PICTURE,1
79,2021-02-03,juan,mate,,25,,ROW,,LCG,1
80,2021-02-03,juan,mate,,25,,FURROW,,CP,1
81,2021-02-03,juan,mate,,5,,FURROW,,PICTURE,1
82,2021-02-03,juan,mate,,20,,FURROW,,COMMON (*),1
83,2021-02-03,juan,mate,,20,,ROW,,CORN,1
84,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
85,2021-02-03,juan,mate,,9,,FURROW,,CP,1
86,2021-02-03,juan,mate,,25,,FURROW,,CP,1
87,2021-02-03,juan,mate,,25,,FURROW,,CP,1
88,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
89,2021-02-03,juan,mate,,25,,FURROW,,CORN,1
90,2021-02-03,juan,mate,,25,,ROW,,LCG,1
91,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
92,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
93,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
94,2021-02-03,juan,mate,,20,,FURROW,,LCG,1
95,2021-02-03,juan,mate,,15,,ROW,,LCG,1
96,2021-02-03,juan,mate,,15,,FURROW,,COMMON (*),1
97,2021-02-03,juan,mate,,15,,FURROW,,LCG,1
98,2021-02-03,juan,mate,,15,,FURROW,,LCG,1
99,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
100,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
101,2021-02-03,juan,mate,,5,,FURROW,,CP,1
102,2021-02-03,juan,mate,,25,,ROW,,CP,1
103,2021-02-03,juan,mate,,>25,,FURROW,,CP,1
104,2021-02-03,juan,mate,,15,,FURROW,,SOLANUM,1
105,2021-02-03,juan,mate,,>25,,FURROW,,LCG,1
106,2021-02-03,juan,mate,,20,,FURROW,,CP,1
107,2021-02-03,juan,mate,,25,,FURROW,,CP,1
108,2021-02-03,juan,mate,,25,,ROW,,LCG,1
109,2021-02-03,juan,mate,,15,,ROW,,CP,1
110,2021-02-03,juan,mate,,25,,ROW,,LCG,1
111,2021-02-03,juan,mate,,25,,ROW,,CP,1
112,2021-02-03,juan,mate,,25,,FURROW,,CP,1
113,2021-02-03,juan,mate,,25,,ROW,,LCG,1
114,2021-02-03,juan,mate,,25,,FURROW,,CP,1
115,2021-02-03,juan,mate,,25,,FURROW,,CP,1
116,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
117,2021-02-03,juan,mate,,25,,ROW,,CP,1
118,2021-02-03,juan,mate,,25,,FURROW,,CP,1
119,2021-02-03,juan,mate,,25,,ROW,,CP,1
120,2021-02-03,juan,mate,,9,,FURROW,,CP,1
121,2021-02-03,juan,mate,,25,,ROW,,LCG,1
122,2021-02-03,juan,mate,,20,,ROW,,CP,1
123,2021-02-03,juan,mate,,9,,FURROW,,LCG,1
124,2021-02-03,juan,mate,,20,,FURROW,,CP,1
125,2021-02-03,juan,mate,,15,,ROW,,CP,1
126,2021-02-03,juan,mate,,20,,FURROW,,CP,1
127,2021-02-03,juan,mate,,25,,ROW,,CP,1
128,2021-02-03,juan,mate,,7,,ROW,,CP,1
129,2021-02-03,juan,mate,,9,,FURROW,,CP,1
130,2021-02-03,juan,mate,,25,,ROW,,CP,1
131,2021-02-03,juan,mate,,25,,ROW,,CP,1
132,2021-02-03,juan,mate,,25,,ROW,,LCG,1
133,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
134,2021-02-03,juan,mate,,9,,FURROW,,SOLANUM,1
135,2021-02-03,juan,mate,,7,,FURROW,,LCG,1
136,2021-02-03,juan,mate,,20,,FURROW,,CP,1
137,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
138,2021-02-03,juan,mate,,25,,ROW,,LCG,1
139,2021-02-03,juan,mate,,15,,FURROW,,CP,1
140,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
141,2021-02-03,juan,mate,,25,,FURROW,,LCG,1
142,2021-02-03,juan,mate,,9,,FURROW,,CP,1
143,2021-02-03,juan,mate,,25,,FURROW,,CP,1
144,2021-02-03,juan,mate,,25,,ROW,,CP,1
145,2021-02-03,juan,mate,,25,,ROW,,LCG,1
146,2021-02-03,juan,mate,,15,,ROW,,CP,1
147,2021-02-03,juan,mate,,20,,FURROW,,CP,1
148,2021-02-03,juan,mate,,25,,ROW,,SOLANUM,1
149,2021-02-03,juan,mate,,25,,FURROW,,SOLANUM,1
150,2021-02-03,juan,mate,,25,,ROW,,LCG,1
151,2021-02-03,juan,mate,,25,,FURROW,,CP,1
