weed_count,date,client,user,weed diameter,size,height,weed placement,weed type,weed name,weed applied
1,2023-01-01,pedro,mate,,25.0,,ROW,HA,Xanthium cavanillesii,0
2,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
3,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
4,2023-01-01,pedro,mate,,20.0,,FURROW,HA,Xanthium cavanillesii,1
5,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
6,2023-01-01,pedro,mate,,20.0,,ROW,HA,Xanthium cavanillesii,1
7,2023-01-01,pedro,mate,,15.0,,FURROW,HA,Xanthium cavanillesii,1
8,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
9,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
10,2023-01-01,pedro,mate,,25.0,,ROW,HA,Xanthium cavanillesii,1
11,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,0
12,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
13,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
14,2023-01-01,pedro,mate,,20.0,,FURROW,HA,Xanthium cavanillesii,0
15,2023-01-01,pedro,mate,25.0,490.63,,FURROW,HA,Bassia scoparia,0
16,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
17,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
18,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
19,2023-01-01,pedro,mate,30.0,706.5,,FURROW,HA,Xanthium cavanillesii,1
20,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
21,2023-01-01,pedro,mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
22,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
23,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,0
24,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
25,2023-01-01,pedro,mate,20.0,314.0,,ROW,HA,Xanthium cavanillesii,0
26,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
27,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
28,2023-01-01,pedro,mate,,25.0,,ROW,G,Maíz voluntario,1
29,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
30,2023-01-01,pedro,mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
31,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
32,2023-01-01,pedro,mate,,25.0,,ROW,G,Maíz voluntario,1
33,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
34,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,0
35,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
36,2023-01-01,pedro,mate,,20.0,,ROW,HA,Xanthium cavanillesii,0
37,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
38,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
39,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
40,2023-01-01,pedro,mate,20.0,314.0,,ROW,HA,Xanthium cavanillesii,1
41,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
42,2023-01-01,pedro,mate,25.0,490.63,,ROW,HA,Xanthium cavanillesii,1
43,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
44,2023-01-01,pedro,mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
45,2023-01-01,pedro,mate,,25.0,,ROW,G,Maíz voluntario,1
46,2023-01-01,pedro,mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,0
47,2023-01-01,pedro,mate,,25.0,,ROW,HA,Xanthium cavanillesii,1
48,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
49,2023-01-01,pedro,mate,,9.0,,FURROW,HA,Xanthium cavanillesii,0
50,2023-01-01,pedro,mate,,25.0,,ROW,G,Maíz voluntario,1
51,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
52,2023-01-01,pedro,mate,,0.0,,ROW,HA,Xanthium cavanillesii,0
53,2023-01-01,pedro,mate,,0.0,,FURROW,HA,Xanthium cavanillesii,1
54,2023-01-01,pedro,mate,,0.0,,FURROW,HA,Xanthium cavanillesii,1
55,2023-01-01,pedro,mate,,0.0,,ROW,HA,Xanthium cavanillesii,1
56,2023-01-01,pedro,mate,,0.0,,FURROW,HA,Xanthium cavanillesii,1
57,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
58,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
59,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
60,2023-01-01,pedro,mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
61,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,0
62,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
63,2023-01-01,pedro,mate,,15.0,,FURROW,HA,Xanthium cavanillesii,0
64,2023-01-01,pedro,mate,,15.0,,FURROW,G,Maíz voluntario,1
65,2023-01-01,pedro,mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
66,2023-01-01,pedro,mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,0
67,2023-01-01,pedro,mate,15.0,176.63,,ROW,G,Maíz voluntario,1
68,2023-01-01,pedro,mate,,25.0,,ROW,HA,Xanthium cavanillesii,1
69,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
70,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
71,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
72,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
73,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
74,2023-01-01,pedro,mate,20.0,314.0,,ROW,G,Maíz voluntario,1
75,2023-01-01,pedro,mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
76,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
77,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
78,2023-01-01,pedro,mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
79,2023-01-01,pedro,mate,,15.0,,FURROW,HA,Xanthium cavanillesii,0
80,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
81,2023-01-01,pedro,mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,0
82,2023-01-01,pedro,mate,,20.0,,ROW,HA,Xanthium cavanillesii,1
83,2023-01-01,pedro,mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
84,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
85,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,0
86,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
87,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
88,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
89,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
90,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,0
91,2023-01-01,pedro,mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
