weed_count,date,client,user,weed diameter,size,height,weed placement,weed type,weed name,weed applied
1,2024-02-01,cliente1,yo,,25.0,,Surco,HA,Xanthium cavanillesii,0
2,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1
3,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
4,2024-02-01,cliente1,yo,,20.0,,Entre surco,HA,Xanthium cavanillesii,1
5,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1
6,2024-02-01,cliente1,yo,,20.0,,Surco,HA,Xanthium cavanillesii,1
7,2024-02-01,cliente1,yo,,15.0,,Entre surco,HA,Xanthium cavanillesii,1
8,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
9,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
10,2024-02-01,cliente1,yo,,25.0,,Surco,HA,Xanthium cavanillesii,1
11,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Xanthium cavanillesii,0
12,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1
13,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1
14,2024-02-01,cliente1,yo,,20.0,,Entre surco,HA,Xanthium cavanillesii,0
15,2024-02-01,cliente1,yo,25.0,490.63,,Entre surco,HA,Bassia scoparia,0
16,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,0
17,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
18,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,0
19,2024-02-01,cliente1,yo,30.0,706.5,,Entre surco,HA,Xanthium cavanillesii,1
20,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
21,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Xanthium cavanillesii,1
22,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1
23,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Xanthium cavanillesii,0
24,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
25,2024-02-01,cliente1,yo,20.0,314.0,,Surco,HA,Xanthium cavanillesii,0
26,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,0
27,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
28,2024-02-01,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1
29,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1
30,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Xanthium cavanillesii,1
31,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1
32,2024-02-01,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1
33,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Xanthium cavanillesii,1
34,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,0
35,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Xanthium cavanillesii,1
36,2024-02-01,cliente1,yo,,20.0,,Surco,HA,Xanthium cavanillesii,0
37,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
38,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,0
39,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
40,2024-02-01,cliente1,yo,20.0,314.0,,Surco,HA,Xanthium cavanillesii,1
41,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
42,2024-02-01,cliente1,yo,25.0,490.63,,Surco,HA,Xanthium cavanillesii,1
43,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,0
44,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Xanthium cavanillesii,1
45,2024-02-01,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1
46,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Xanthium cavanillesii,0
47,2024-02-01,cliente1,yo,,25.0,,Surco,HA,Xanthium cavanillesii,1
48,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Xanthium cavanillesii,1
49,2024-02-01,cliente1,yo,,9.0,,Entre surco,HA,Xanthium cavanillesii,0
50,2024-02-01,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1
51,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,0
52,2024-02-01,cliente1,yo,,0.0,,Surco,HA,Xanthium cavanillesii,0
53,2024-02-01,cliente1,yo,,0.0,,Entre surco,HA,Xanthium cavanillesii,1
54,2024-02-01,cliente1,yo,,0.0,,Entre surco,HA,Xanthium cavanillesii,1
55,2024-02-01,cliente1,yo,,0.0,,Surco,HA,Xanthium cavanillesii,1
56,2024-02-01,cliente1,yo,,0.0,,Entre surco,HA,Xanthium cavanillesii,1
57,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Xanthium cavanillesii,1
58,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
